NAME	TITLE	SCORE	
RPL22		0.24324945	
ABCD3		0.24310537	
ASNSD1		0.24303718	
SLC25A43		0.24257515	
NOP58		0.24234916	
FARSB		0.24201886	
RPS3AP37		0.24148962	
SCARNA20		0.24118745	
SNORA3B		0.24113435	
POLR3B		0.24106014	
RNF125		0.2410535	
SLC43A1		0.24100561	
ALKBH3		0.24062401	
ZFYVE9		0.23961191	
ZNF343		0.23942365	
TTLL12		0.23929235	
ZMYND12		0.23871747	
SYCP3		0.23867433	
RPL36AP43		0.23865773	
EP400NL		0.23864198	
INTS6		0.23812236	
DDB1		0.23803851	
PACRGL		0.23795179	
DBT		0.23752902	
CEP104		0.23724781	
DIS3L2		0.23688327	
RBBP4P5		0.23625629	
BPHL		0.23622864	
AMN1		0.23614132	
TET1		0.23532845	
FBXL4		0.23524268	
DDX18P4		0.23506263	
CYB561A3		0.23505163	
TMEM168		0.23502468	
LARS		0.23497352	
ZYG11B		0.23416834	
HELZ		0.23320657	
EPG5		0.23277812	
PSMG4		0.23268726	
SNORD11		0.23253584	
PFN1P2		0.23248918	
WDR12		0.23245981	
UBE3D		0.23237234	
HACE1		0.23177595	
UTP20		0.23145059	
ZNF554		0.2313727	
TTC3-AS1		0.23121183	
RPSAP58		0.23099257	
R3HCC1L		0.23073104	
ACTR3B		0.23072946	
TCP1P1		0.2307099	
RPL17P50		0.23065452	
PIGX		0.2302786	
ZCCHC9		0.23014788	
TIMM9P2		0.23001036	
BCS1L		0.22943784	
DHX33		0.22940399	
ANO7		0.22918649	
GTF2H3		0.22874445	
TBCE		0.2280596	
OSCP1		0.22726943	
RAD9B		0.22708802	
TMEM120B		0.22575672	
CRYZL1		0.22575147	
SCARNA12		0.22574542	
ELP2		0.2254624	
PPFIA4		0.22532417	
ARMCX6		0.22493114	
SHPRH		0.22443864	
RPL21P123		0.22441632	
JRKL		0.22432339	
PAK1IP1		0.22431512	
PAICS		0.22414236	
MIB1		0.22412239	
ARHGAP11B		0.22394983	
MCM3AP-AS1		0.22365856	
ZMYM4		0.22330588	
ATIC		0.22303422	
AGL		0.2224696	
ALS2		0.22216317	
ZFAS1		0.22196396	
PPFIBP1		0.2216906	
HSBP1L1		0.2216272	
VPS9D1-AS1		0.22128828	
SRSF6		0.22086604	
STRADB		0.22033069	
SNORD12B		0.22026537	
NACAP1		0.21984352	
SOX5		0.21962331	
MIR151A		0.2192429	
TAF4B		0.21842688	
AL160006		0.21811233	
ZNF470		0.21737795	
SLC15A4		0.21715173	
NDC1		0.21700896	
GUF1		0.21667592	
SRP72P2		0.21649359	
UBN2		0.2162439	
TCTN1		0.21595158	
C15orf41		0.21564843	
RFC5		0.2152879	
FKBP4		0.21469952	
LARP1B		0.21447107	
SH3YL1		0.21412583	
LRRC45		0.21405056	
COPS7B		0.21356386	
KCNQ1OT1		0.21334243	
NPHP3		0.21317896	
NOL9		0.21299973	
ZCCHC8		0.21296678	
WDR43		0.21228191	
SPATA6		0.21210515	
MUM1		0.2120196	
EME1		0.2117404	
ABCC5		0.21145864	
GART		0.211204	
HECTD2		0.21089523	
KLHL12		0.2107186	
SPIN3		0.2103444	
EPM2A		0.21010771	
ZNF514		0.21008931	
ANAPC7		0.2099253	
HEATR1		0.20970641	
PRMT3		0.20970464	
MORN2		0.20936877	
PDCD2L		0.20922028	
MTCH2		0.20908517	
LRRC75A-AS1		0.20899864	
TEAD1		0.20888644	
TFB1M		0.20875469	
RBM28		0.20846926	
CENPBD1		0.20825544	
ALKBH2		0.2080574	
CABLES1		0.20767172	
AL356968		0.20764457	
NTAN1		0.20761165	
BCL7A		0.2074458	
TSNAXIP1		0.20695844	
IPMK		0.20683825	
ZNF664		0.20655768	
EXOSC10		0.20605823	
ZNF691		0.20602572	
TGS1		0.20554255	
ATP7A		0.20549338	
TBCK		0.20537995	
AASDH		0.2051468	
SNORA66		0.20450938	
ATG4C		0.20431118	
DNAJC11		0.20403641	
NIT2		0.20366019	
SMG1P3		0.20359081	
EIF2B3		0.20354939	
PEX10		0.2033313	
PSEN2		0.2032535	
SRSF7		0.20312485	
ASB9P1		0.2029662	
F2		0.20277418	
MIGA1		0.20268361	
RPL39P38		0.20220086	
SNORA5C		0.20211208	
C1QBPP2		0.2020272	
CEP290		0.20184883	
SUPV3L1		0.2017964	
DERA		0.20179424	
RAD52		0.20171227	
HNRNPCP1		0.20169546	
ATAD3B		0.20145904	
RPL23P2		0.20144852	
HSD17B12		0.20143582	
ZNF33B		0.20140152	
ZRANB3		0.20096985	
WDR75		0.20034473	
NOM1		0.19930606	
POP1		0.19925392	
MIR590		0.19899556	
SPATA5L1		0.19891067	
SPICE1		0.19889165	
STK36		0.19877535	
KDM1B		0.19874457	
FDFT1		0.1986121	
PTPN21		0.19857687	
GNPAT		0.19815874	
RETSAT		0.19814472	
MRS2		0.19798219	
B3GALNT2		0.19777305	
BRI3P1		0.19773835	
ZNF165		0.19765846	
ABCA11P		0.19755596	
TMEM237		0.19751456	
SOCS6		0.19743495	
MMAB		0.1974267	
SNORA60		0.19739053	
PPIAP71		0.19736381	
MKS1		0.1969959	
FNBP4		0.19657664	
GPAT4		0.19650313	
LIAS		0.19595529	
DDX51		0.19591667	
AFG1L		0.1958867	
TRMT13		0.1948338	
POLB		0.19446191	
LINC00115		0.19439076	
DDHD2		0.19417635	
HSPBAP1		0.19413984	
RWDD3		0.19376257	
VPS36		0.19358204	
AL162578		0.19322488	
PPP2R5B		0.1928516	
KRT18P63		0.19244379	
ATG4B		0.19222704	
NPIPA7		0.19221632	
FAM171B		0.19214933	
WDSUB1		0.19182678	
UBE3C		0.19172883	
WDCP		0.19162512	
PTPRM		0.19155948	
MTOR		0.19137442	
BASP1-AS1		0.19120912	
HMBOX1		0.1911916	
TCFL5		0.19093156	
DTD2		0.19073749	
SMG1P5		0.19070436	
AP002026		0.19069655	
LRPPRC		0.19063993	
MAGOHB		0.1902374	
ZNF425		0.18983626	
CALML4		0.18965437	
PEX13		0.18953483	
NUP43		0.18939632	
CASD1		0.18928787	
UGGT2		0.18924251	
AL591866		0.18899302	
THOC2		0.18891068	
LSM14B		0.1889045	
BDP1		0.18852234	
KCNJ13		0.18840371	
CUL4B		0.18822642	
PITHD1		0.18819088	
ZNF823		0.18816116	
COX11		0.18790795	
PHF14		0.18783624	
YTHDF2		0.1877584	
HGSNAT		0.18771656	
GREB1		0.1873611	
Z84478		0.18730204	
CBWD1		0.18730198	
AC068587		0.18711792	
RPS12		0.18701333	
PDHA1		0.18664475	
U2SURP		0.18635087	
IARS2		0.18628378	
SNORD82		0.1858909	
SUGT1		0.18573233	
MBTD1		0.18543582	
EXOC6B		0.18518111	
ANAPC4		0.18516472	
NLN		0.18499956	
GIGYF2		0.18456459	
C5orf42		0.1839725	
ANKRD39		0.18383913	
FAM227A		0.18373899	
PPP2R3B		0.18364543	
RPL5P23		0.18344142	
SLC16A1		0.18328713	
RGS12		0.1830707	
PLAC4		0.1829945	
GSTCD		0.18298925	
CUL1		0.1828265	
WRNIP1		0.18248606	
SLC25A3		0.1823259	
VPS29		0.18198642	
PRPF39		0.18191005	
PIGG		0.18189259	
ZNHIT6		0.1818802	
VAMP3		0.18186136	
HMGB3P9		0.18182914	
SNORD53		0.18148336	
NPM1P31		0.18138923	
PCID2		0.18131854	
INPP5B		0.18119518	
ULK2		0.18096295	
AKAP1		0.18096256	
RPL12P4		0.18092026	
SUPT20H		0.18088123	
SBNO1		0.18080871	
SLC30A9		0.18053308	
AC003071		0.18047793	
PCNX4		0.18045063	
RNF146		0.1803791	
PUS7		0.1803489	
HYKK		0.18014707	
GSTA4		0.18013985	
RPS7		0.18010044	
RPSAP21		0.17998391	
IVNS1ABP		0.1799512	
TUBGCP4		0.17955138	
PPIP5K2		0.17939351	
ABHD10		0.17937264	
LRRC8D		0.17885369	
GTF3C3		0.17884591	
SHMT1P1		0.17859913	
TRAPPC8		0.17848873	
FUS		0.1783568	
RAB4A		0.1783284	
RPF1		0.17774978	
AC211433		0.17768724	
MBLAC2		0.17701663	
ZKSCAN3		0.17674275	
SLC25A33		0.17653102	
TYW5		0.1764815	
UPF3A		0.17644529	
DOCK5		0.1764015	
EIF4A2		0.17626819	
AMZ2P1		0.1761329	
TAF1A		0.17608659	
TRIT1		0.17567092	
MIR573		0.17566517	
RPL10P1		0.1755625	
TMCO3		0.17548928	
RAD17		0.17547745	
POLA1		0.17545637	
SLX4IP		0.17533414	
UMPS		0.17531365	
BBS7		0.1752477	
PRPF4B		0.17507254	
PBRM1		0.17494437	
SEC14L1P1		0.17446238	
CAMKMT		0.17440146	
URB1		0.17432559	
BRAP		0.1740262	
NPIPA8		0.17391068	
TBC1D19		0.17376928	
TRAK2		0.1737467	
DNM1L		0.17351963	
ZNF112		0.17346942	
HIF1AN		0.17344645	
EEF1B2P7		0.17336236	
AC005822		0.17330936	
NPEPPS		0.17304033	
PIGF		0.17302716	
POT1		0.1728139	
TPP2		0.17278881	
EBLN2		0.17274427	
NUFIP1		0.17259808	
SNORD70		0.1725244	
INTS10		0.17223316	
ABCA5		0.17221002	
TTC19		0.17193945	
RPS15AP16		0.17187093	
PIK3CB		0.1718216	
YWHAZP4		0.17175108	
SFSWAP		0.17175019	
KIF1B		0.17165647	
NAT10		0.17137016	
VAPB		0.17099535	
SRM		0.17098148	
DIEXF		0.17088524	
NLGN1		0.1708609	
OCLM		0.17079665	
ZNF30		0.17079553	
ZNF773		0.17070122	
ELOA		0.17063037	
HIGD1A		0.17061985	
CAMSAP2		0.17056395	
PPP2R5A		0.1705507	
ABHD18		0.17046519	
SNORA71B		0.17042252	
RPL7P33		0.17041886	
SDHAF2		0.17040834	
ZNF397		0.1700316	
PDCD11		0.1698403	
EZH2		0.16982894	
TMEM14B		0.16981837	
RPF2		0.16981086	
PACSIN3		0.16962443	
LINC01128		0.1696016	
MAST2		0.16950524	
TAF1D		0.16948412	
SLC35A3		0.16926824	
HSPD1		0.16924535	
MTBP		0.16924329	
STXBP6		0.16920511	
AL133260		0.16920158	
RPL7P49		0.16914146	
SRBD1		0.1690455	
ZNF140		0.16901273	
CTPS2		0.16870484	
ESF1		0.16869754	
RAN		0.16869731	
FBXO44		0.16858678	
RAB9A		0.1684487	
SNRPGP15		0.16817254	
N6AMT1		0.16807461	
SEPT10		0.16777875	
PMS2		0.16768308	
DLEU1		0.16755772	
DNAJC13		0.16747203	
RTCA		0.1673136	
CCNT1		0.16726133	
EIF3E		0.16723385	
ZNF616		0.16715698	
PIGV		0.16713893	
HNRNPA1P22		0.1669584	
CFAP97		0.16691074	
NOC3L		0.16671558	
SNORD38A		0.16671377	
GBE1		0.16669668	
ZC3H14		0.16641767	
GEN1		0.16638534	
ITPA		0.16637656	
SLC35D1		0.16627309	
RPS11P7		0.16623169	
MASP2		0.16610369	
ATP6V1B2		0.16609274	
SMYD2		0.16598427	
TRMT11		0.16589029	
COPS8		0.16588616	
DMXL1		0.16588439	
AL009031		0.16584872	
PTBP2		0.16579594	
MTFR1		0.16577566	
C2orf15		0.16576703	
CDKL3		0.16574265	
ARHGEF10		0.1655933	
ICMT		0.16556948	
OSGEPL1		0.1655612	
WDR26		0.1651839	
JPT2		0.1650068	
HNRNPA3		0.16494912	
POP5		0.16475013	
CPOX		0.16470593	
KNSTRN		0.16467637	
WDR3		0.16467474	
CCT3		0.16455315	
EEF1B2P6		0.16417453	
PHF13		0.16404043	
KATNBL1		0.16390234	
SETD6		0.16382559	
RPL31P2		0.16382423	
TBC1D24		0.16353162	
MRPL44		0.1633815	
TAF9B		0.16326828	
ZADH2		0.16323507	
TRMT5		0.16302769	
TTC3		0.16292949	
METTL2B		0.16270295	
AL596202		0.16269344	
LRTOMT		0.16266024	
RBFA		0.1625863	
MTRF1		0.16250499	
CCNL2		0.16247399	
PEX1		0.1624734	
RRAGB		0.16245236	
TCTN2		0.16237602	
CROT		0.16237138	
PECR		0.16235854	
NRDC		0.1620878	
RYK		0.16203055	
APPL2		0.16190158	
COG6		0.16179134	
NUP133		0.16167901	
PKN2		0.16158955	
AL954705		0.16158342	
IPO7		0.16150467	
BBS1		0.16150092	
TMEM116		0.16147572	
NAPB		0.16142523	
ARV1		0.16139208	
CENPJ		0.16137914	
MRTO4		0.1613043	
PAN2		0.16130099	
OMA1		0.16123812	
GAS8-AS1		0.16092634	
ITPR3		0.1607111	
ERI1		0.16062558	
snoZ196		0.16058323	
RBBP8		0.16055195	
CCNJ		0.16041529	
AC113191		0.16033086	
DDX11		0.1603122	
TPRG1L		0.16020963	
SNORA74A		0.15996908	
HHLA3		0.15987556	
FXR1		0.15984407	
SNORD83A		0.1596645	
PFN2		0.15963733	
PLK4		0.15959355	
IRS1		0.15958725	
MTERF2		0.15937601	
GPN1		0.15918127	
AL731571		0.15908399	
CCNB1IP1P1		0.15908034	
SMARCAD1		0.15891491	
UNC119B		0.15886922	
MCM8		0.15841296	
ZNF692		0.15835579	
SLC30A6		0.15834078	
CLDN20		0.15823685	
DNAJA3		0.1582277	
METAP1		0.15781988	
PRDM4		0.15768719	
TATDN1P1		0.15747611	
TOM1L1		0.15742096	
FAIM		0.15738991	
SPG21		0.15738389	
TRIQK		0.15737334	
NCAPG2		0.15727958	
AC108022		0.15720253	
MRE11		0.1571493	
CABYR		0.15705961	
AKNAD1		0.15688205	
RNMT		0.1568433	
TEAD4		0.1568089	
MEAF6		0.15678601	
IQCB1		0.15662053	
CHD7		0.15629064	
HSPA12A		0.1561677	
PDXDC2P		0.15615268	
ZNF326		0.15607184	
KIF3A		0.15580608	
SNORD91A		0.15559353	
URB2		0.15556534	
TRAF3IP2-AS1		0.15543029	
CENPI		0.15534057	
PUS7L		0.15529184	
AC240274		0.1552783	
CAND1		0.15519519	
POLQ		0.15499437	
LZIC		0.15488428	
AP001324		0.15487073	
DDI2		0.15473992	
NUP160		0.15455164	
HDAC2		0.15442091	
DEPDC4		0.15428428	
INTS8		0.15427709	
ELAC1		0.15418363	
RPL7P57		0.15418306	
TMEM251		0.15411083	
ITGB3BP		0.15410317	
LRRC34		0.15408756	
PPCS		0.15404217	
RPS7P1		0.15400195	
NBPF25P		0.15399006	
LTN1		0.15398456	
NUDT15		0.15393649	
PDS5A		0.15392411	
ARL6		0.15386818	
TRPM7		0.15353921	
IPO11		0.15348463	
RPL7P7		0.15336215	
AMMECR1L		0.15317883	
CEP89		0.1530159	
CYP2R1		0.15292269	
DDX1		0.15283586	
MST1		0.15275289	
NEPRO		0.15263687	
C11orf65		0.15248686	
TAPT1-AS1		0.15246579	
GPR22		0.15241137	
GATB		0.1523483	
PDZRN3		0.15220037	
RLF		0.15214697	
UBE3B		0.15183654	
BCLAF1P1		0.15179022	
TBC1D12		0.15170069	
DCAF17		0.15167382	
C8orf58		0.15166655	
AC073063		0.1515757	
CTPS1		0.15138699	
XPOT		0.15138264	
FAF1		0.15127128	
NEK5		0.1510803	
TTC17		0.15103664	
C18orf54		0.15087327	
UPF3B		0.15073316	
ERMARD		0.15060602	
COQ5		0.15059823	
PTDSS1		0.15052037	
DCUN1D4		0.15027681	
PARK7		0.15027098	
MIR627		0.15015547	
TMEM272		0.1500624	
BPNT1		0.15000652	
SLC25A13		0.14986423	
TSNAX		0.14975266	
DDX20		0.14973125	
MRPL42		0.14961775	
GAS2L3		0.14956059	
LONRF1		0.14950657	
IFT172		0.14948831	
LANCL2		0.14945412	
PRPF38A		0.1494494	
SPIDR		0.14911264	
RPL6		0.14891295	
PALB2		0.14861894	
BCHE		0.14860728	
ZNF559		0.14859968	
MRPL15		0.14858098	
ADHFE1		0.14849974	
PAAF1		0.1483228	
PPIH		0.14826605	
CFAP44		0.14826298	
RBM3		0.14824294	
SCRN3		0.14814453	
SLC5A6		0.1480967	
FAHD1		0.14805548	
SNORA73B		0.14799553	
LMLN		0.14795306	
RPS4XP14		0.14783081	
RRP1		0.14783002	
MIR6505		0.14778386	
CCDC39		0.1476851	
NPPA-AS1		0.14762776	
JMJD4		0.1475996	
EI24		0.14755353	
ERI3		0.14754584	
XPO1		0.14745952	
NAA16		0.14734358	
PRPF38B		0.14733379	
CLYBL		0.14725411	
KIAA1549L		0.14685406	
ARMC10		0.14684284	
WDR60		0.14661115	
ZNF141		0.14652166	
SNORD12C		0.14650851	
LIN9		0.14622004	
DCUN1D2		0.14621517	
MON2		0.14620107	
ATP2C1		0.14609022	
ALG14		0.14601338	
UQCC2		0.14577213	
BIRC6-AS1		0.14568856	
POLR1C		0.14541197	
TTC27		0.14539813	
TRMU		0.14538658	
PLXNC1		0.14526202	
STRAP		0.14519514	
RPS3AP38		0.14512397	
SNORA37		0.14510195	
STAM		0.14509867	
MFSD14C		0.14494231	
ETNK1		0.1447376	
AL139396		0.14466721	
CYP39A1		0.14451353	
LRRIQ3		0.14447731	
PIBF1		0.14425692	
UCHL3		0.14410532	
MDN1		0.14404291	
TRAPPC11		0.14403908	
CEP170P1		0.14390154	
MIR548I3		0.143846	
MRPL3		0.14382723	
AC021443		0.14381562	
UBE3A		0.14380164	
SLC25A40		0.14370294	
TYMS		0.14360417	
HEATR5B		0.14351216	
ING5		0.14346871	
NR2C1		0.14344315	
RSL24D1P6		0.14344215	
HMGN2P18		0.14342524	
C2orf69		0.1432884	
EEF2KMT		0.14327894	
PIP4P2		0.14327176	
PPIAP32		0.14323807	
XPO4		0.14319623	
GTF2IP5		0.14309643	
HERC4		0.14305742	
RBBP4		0.14297965	
TIMMDC1		0.14292382	
FIGNL1		0.14291997	
FARS2		0.14288996	
ITSN1		0.14280504	
IQCC		0.14279534	
MTX2		0.14276886	
NAA25		0.14273642	
RAD54B		0.14268258	
DISC1		0.1426698	
QSER1		0.14262785	
P4HA1		0.14260082	
VPS13A		0.14259031	
EIF2B1		0.14258443	
BPTF		0.14253895	
PCMT1		0.14251341	
YIPF1		0.14245388	
SMIM17		0.14233908	
C6orf203		0.14226924	
MTERF3		0.14222072	
MAGOH2P		0.14216726	
STAG3L3		0.14208727	
ST7L		0.14187942	
INTU		0.1416929	
L3HYPDH		0.14166142	
RRN3		0.14163665	
AC002563		0.14150147	
THAP3		0.14149542	
CYP4A22		0.14143828	
UTP6		0.14138977	
ZNF451		0.14137305	
REV1		0.14135024	
RAB3GAP2		0.14131978	
CSPP1		0.14102168	
SETP2		0.14093034	
AVEN		0.14085495	
LCA5L		0.1407965	
NUDT19		0.14074981	
ZNF57		0.14065604	
CLK2		0.140646	
CKAP5		0.14056839	
MIPEP		0.1405363	
INTS2		0.1402068	
ZGRF1		0.1401733	
ZNF562		0.14016701	
PIP4K2B		0.1401228	
FAM149B1		0.14010665	
USP53		0.14009456	
DNAJC24		0.14002232	
KLHL21		0.13981286	
CEP152		0.13969429	
SNORD126		0.13969234	
SNX30		0.13945447	
RAVER2		0.1394541	
ZNF529		0.13922948	
DNASE1		0.13918236	
S100PBP		0.13907593	
ZCCHC11		0.13886525	
CMPK1		0.13878024	
FHOD3		0.13873021	
USH2A		0.13864693	
RECQL5		0.13850331	
BCL2L2		0.13848773	
APAF1		0.13837834	
EEF1AKMT1		0.13825671	
MRPL37		0.13818833	
ING4		0.13818473	
NOL11		0.13817288	
GTF2I		0.13802907	
CPT2		0.13798097	
TMEM68		0.13797486	
COX7CP1		0.13796291	
